Device Name,Port,Description,PID,VID,SN,Operational_State
ORC42,HundredGigE0/1/0/8,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V01,AVF2129G2NN,UP/UP
ORC42,HundredGigE0/1/0/10,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V01,AVF2112G0CR,UP/UP
ORC42,FortyGigE0/1/0/25,Cisco QSFP+ 40G SR4 Pluggable Optics Module,QSFP-40G-SR4,V02,FIS1811029V,DOWN/DOWN
ORC42,HundredGigE0/1/0/28,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC10M,V02,FIW230400GP-B,UP/UP
ORC42,HundredGigE0/1/0/29,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC10M,V02,FIW214401BZ-A,UP/UP
ORC42,HundredGigE0/1/0/30,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V01,AVF2129G2BR,DOWN/DOWN
ORC42,HundredGigE0/1/0/34,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V03,INL23351352,DOWN/DOWN
ORC42,HundredGigE0/1/0/35,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V03,INL23351343,DOWN/DOWN
ORC42,FourHundredGigE0/2/0/0,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,INL24322318,UP/UP
ORC42,FourHundredGigE0/2/0/10,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25290892,UP/UP
ORC42,FourHundredGigE0/2/0/11,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25290949,UP/UP
ORC42,FourHundredGigE0/2/0/12,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25290857,UP/UP
ORC42,FourHundredGigE0/3/0/2,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,INL24322379,UP/UP
ORC41,HundredGigE0/0/0/1,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V01,AVF2126G14F,UP/UP
ORC41,HundredGigE0/0/0/2,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V01,FOF2241N4ZB,DOWN/DOWN
ORC41,HundredGigE0/0/0/6,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V01,AVF2125G0AC,UP/UP
ORC41,HundredGigE0/0/0/9,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V02,FTF2342N0N2,DOWN/DOWN
ORC41,HundredGigE0/0/0/11,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V02,AVF2212S0Z1,UP/UP
ORC41,HundredGigE0/0/0/15,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V01,AVF2023G071,UP/UP
ORC41,HundredGigE0/0/0/16,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V01,AVF2111G18A,DOWN/DOWN
ORC41,HundredGigE0/0/0/17,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V01,AVF2109G061,UP/UP
ORC41,HundredGigE0/0/0/18,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V01,AVF2111G1AG,UP/UP
ORC41,HundredGigE0/0/0/34,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V01,AVF2111G1H5,DOWN/DOWN
ORC41,HundredGigE0/0/0/35,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V03,INL23351349,DOWN/DOWN
ORC41,HundredGigE0/1/0/0,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V03,INL23351350,DOWN/DOWN
ORC41,HundredGigE0/1/0/3,Cisco QSFP28 100G LR4 Pluggable Optics Module,QSFP-100G-LR4-S,V01,FNS20490MFD,DOWN/DOWN
ORC41,HundredGigE0/1/0/4,Cisco QSFP28 100G LR4 Pluggable Optics Module,QSFP-100G-LR4-S,V01,FNS20430C05,DOWN/DOWN
ORC41,HundredGigE0/1/0/6,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V03,AVF2302S1K2,UP/UP
ORC41,HundredGigE0/1/0/7,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V01,AVF2111G1B6,UP/UP
ORC41,FortyGigE0/1/0/25,Cisco QSFP+ 40G SR4 Pluggable Optics Module,QSFP-40G-SR4,V02,FIS1734006S,DOWN/DOWN
ORC41,HundredGigE0/1/0/35,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V03,INL23351394,DOWN/DOWN
ORC41,FourHundredGigE0/2/0/0,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,INL24322406,UP/UP
ORC41,HundredGigE0/2/0/9,Cisco QSFP28 100G FR Pluggable Optics Module,QSFP-100G-FR-S,V02,FBN2628A0CN,DOWN/DOWN
ORC41,FourHundredGigE0/2/0/10,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25230368,UP/UP
ORC41,FourHundredGigE0/2/0/11,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25290496,UP/UP
ORC41,FourHundredGigE0/2/0/12,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25230321,UP/UP
ORC41,FourHundredGigE0/3/0/2,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,INL24322409,UP/UP
ORC41,FourHundredGigE0/3/0/5,Cisco QSFPDD 400G DR4 Pluggable Optics Module,QDD-400G-DR4-S,V01,INL24332695,DOWN/DOWN
ORC44,FourHundredGigE0/0/0/1,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC26250480,DOWN/DOWN
ORC44,HundredGigE0/1/0/0,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V02,FTM2401N1KD,UP/UP
ORC44,HundredGigE0/1/0/1,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V03,FTF2512N5U9,UP/UP
ORC44,HundredGigE0/1/0/11,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V01,AVF2124G292,UP/UP
ORC44,HundredGigE0/1/0/20,Cisco QSFP28 100G FR Pluggable Optics Module,QSFP-100G-FR-S,V02,FBN2611A2U9,UP/UP
ORC44,HundredGigE0/1/0/21,Cisco QSFP28 100G FR Pluggable Optics Module,QSFP-100G-FR-S,V02,FBN2628A0W9,UP/UP
ORC44,HundredGigE0/1/0/32,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC10M,V02,FIW21440225-A,UP/UP
ORC44,HundredGigE0/1/0/34,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC3M,V03,INL26100B7K-A,DOWN/DOWN
ORC44,HundredGigE0/1/0/35,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V01,AVF2125G398,DOWN/DOWN
ARG55a1-1,HundredGigE0/0/0/0,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V02,AVF2229S54R,UP/UP
ARG55a1-1,HundredGigE0/0/0/2,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V03,FTF2512N5UU,DOWN/DOWN
ARG55a1-1,HundredGigE0/0/0/3,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V03,FTF2512N9EN,DOWN/DOWN
ARG55a1-1,HundredGigE0/0/0/5,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V02,FTF2416N3SJ,DOWN/DOWN
ARG55a1-1,HundredGigE0/0/0/9,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC10M,V04,DPZ2648B093-B,DOWN/DOWN
ARG55a1-1,HundredGigE0/0/0/10,Cisco QSFP28 100G FR Pluggable Optics Module,QSFP-100G-FR-S,V02,FBN2628A0DF,DOWN/DOWN
ARG55a1-1,HundredGigE0/0/0/11,Cisco QSFP28 100G FR Pluggable Optics Module,QSFP-100G-FR-S,V02,FBN2628A04Q,DOWN/DOWN
ARG55a1-1,HundredGigE0/0/0/12,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V01,FOF2217N50F,DOWN/DOWN
ARG55a1-1,HundredGigE0/0/0/13,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC10M,V02,FIW21440215-B,DOWN/DOWN
ARG55a1-1,HundredGigE0/0/0/14,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC10M,V02,FIW214401BT-A,DOWN/DOWN
ARG55a1-1,HundredGigE0/0/0/15,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V01,FOF2208N1NT,UP/UP
ARG55a1-1,HundredGigE0/0/0/16,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V01,FOF2210N0DW,UP/UP
