Device Name,Port,Description,PID,VID,SN
ORC44,HundredGigE0/1/0/34,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC3M,V03,INL26100B7K-A
ORC44,HundredGigE0/1/0/35,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V01,AVF2125G398
ARG55a1-2,HundredGigE0/0/0/0,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V03,AVF2302S1JG
ARG55a1-2,HundredGigE0/0/0/2,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V03,FTF2512N9F5
ARG55a1-2,HundredGigE0/0/0/3,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V03,FTF2512N9FD
ARG55a1-2,HundredGigE0/0/0/5,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V01,FOF2208N1NS
ARG55a1-2,HundredGigE0/0/0/6,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V02,AVF2140S38A
ARG55a1-2,HundredGigE0/0/0/9,Cisco QSFP28 100G FR Pluggable Optics Module,QSFP-100G-FR-S,V02,FBN2628A0MB
ARG55a1-2,HundredGigE0/0/0/10,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC10M,V02,FIW230400GP-A
ARG55a1-2,HundredGigE0/0/0/11,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC10M,V02,FIW214401BZ-B
ARG55a1-2,HundredGigE0/0/0/13,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC10M,V02,FIW2144022U-A
ARG55a1-2,HundredGigE0/0/0/14,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC10M,V02,FIW21440194-B
ARG55a1-2,HundredGigE0/0/0/15,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V01,FOF2319N03Y
ARG55a1-2,HundredGigE0/0/0/16,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V01,FOF2210N1KF
ARG55a1-2,HundredGigE0/0/0/17,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V01,FOF2210N04Z
ARG55a1-2,HundredGigE0/0/0/18,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V01,FOF2245N2CR
ARG55a1-2,HundredGigE0/0/0/25,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V01,FOF2217N3BG
ARG55a1-2,HundredGigE0/0/0/26,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V01,FOF2245N2BM
ARG55a1-2,HundredGigE0/0/0/27,Cisco QSFP28 100G LR4 Pluggable Optics Module,QSFP-100G-LR4-S,V01,FNS213700WX
ARG55a1-2,HundredGigE0/0/0/28,Cisco QSFP28 100G LR4 Pluggable Optics Module,QSFP-100G-LR4-S,V01,FNS21350T21
ARG55a1-2,HundredGigE0/0/0/30,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V01,FOF2319N1EX
ARG55a1-2,HundredGigE0/0/0/31,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V01,FOF2307N0J4
ARG55a1-2,HundredGigE0/0/0/32,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC10M,V02,FIW21440225-B
ARG55a1-2,HundredGigE0/0/0/34,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V01,FOF2210N065
DRE-9364-1,"""Chassis""","""Nexus9000 C9364D-GX2A Chassis""",N9K-C9364D-GX2A,N/A,FDO24430U8N
DRE-9364-1,"""Slot 1""","""64x400G QSFP-DD + 2x10G SFP+ Ethernet Module""",N9K-C9364D-GX2A,N/A,FDO24430U8N
DRE-9364-1,"""Slot 27""","""64x400G QSFP-DD + 2x10G SFP+ Ethernet Module""",N9K-C9364D-GX2A,N/A,FDO24430U8N
DRE-9364-1,"""Power Supply 1""","""Nexus9000 C9364D-GX2A Chassis Power Supply""",NXA-PAC-3KW-PI,N/A,DTM244101SY
DRE-9364-1,"""Power Supply 2""","""Nexus9000 C9364D-GX2A Chassis Power Supply""",NXA-PAC-3KW-PI,N/A,DTM244101SZ
DRE-9364-1,"""Fan 1""","""Nexus9000 C9364D-GX2A Chassis Fan Module""",NXA-FAN-160CFM2PI,N/A,N/A
DRE-9364-1,"""Fan 2""","""Nexus9000 C9364D-GX2A Chassis Fan Module""",NXA-FAN-160CFM2PI,N/A,N/A
DRE-9364-1,"""Fan 3""","""Nexus9000 C9364D-GX2A Chassis Fan Module""",NXA-FAN-160CFM2PI,N/A,N/A
DRE-9364-1,"""Fan 4""","""Nexus9000 C9364D-GX2A Chassis Fan Module""",NXA-FAN-160CFM2PI,N/A,N/A
DRE-9364-1,Ethernet1/1/1,CISCO,QSFP-40G-SR4,N/A,FIS181101RE
DRE-9364-1,Ethernet1/1/2,CISCO,QSFP-40G-SR4,N/A,FIS181101RE
DRE-9364-1,Ethernet1/1/3,CISCO,QSFP-40G-SR4,N/A,FIS181101RE
DRE-9364-1,Ethernet1/1/4,CISCO,QSFP-40G-SR4,N/A,FIS181101RE
DRE-9364-1,Ethernet1/5,CISCO-AVAGO,QSFP-100G-SR4-S,N/A,AVF2125G184
DRE-9364-1,Ethernet1/6,CISCO-INNOLIGHT,QSFP-100G-SR4-S,N/A,INL23351380
DRE-9364-1,Ethernet1/9,CISCO-CISCO,QSFP-100G-FR-S,N/A,FBN2628A0CP
DRE-9364-1,Ethernet1/10,CISCO-CISCO,QSFP-100G-FR-S,N/A,FBN2628A0B5
DRE-9364-1,Ethernet1/13,CISCO,QSFP-40G-SR4,N/A,AVP1648S1FF
DRE-9364-1,Ethernet1/14,CISCO,QSFP-40G-SR4,N/A,FIS190901CX
DRE-9364-1,Ethernet1/15,CISCO-CISCO,QSFP-100G-FR-S,N/A,FBN2611A2V7
DRE-9364-1,Ethernet1/16,CISCO-CISCO,QSFP-100G-FR-S,N/A,FBN2611A2PM
DRE-9364-1,Ethernet1/21,CISCO-AVAGO,QSFP-100G-SR4-S,N/A,AVF2225S1TG
DRE-9364-1,Ethernet1/22,CISCO-AVAGO,QSFP-100G-SR4-S,N/A,AVF2212S0R7
DRE-9364-1,Ethernet1/23,CISCO-FINISAR,SFP-10G-SR,N/A,FNS15491WNV
DRE-9364-1,Ethernet1/24/1,CISCO,QSFP-40G-SR4,N/A,AVP1810S2UG
DRE-9364-1,Ethernet1/24/2,CISCO,QSFP-40G-SR4,N/A,AVP1810S2UG
DRE-9364-1,Ethernet1/24/3,CISCO,QSFP-40G-SR4,N/A,AVP1810S2UG
